Property_ID,Host_ID,Property_Type,Room_Type,Location_City,Location_Country,No_of_Bedrooms,No_of_Bathrooms,Amenities,Price_per_Night
20,117,House,Shared room,North Michaelmouth,Ukraine,1,3,"notice, wish, network, professional, cold",371.71
21,48,House,Private room,New Michaelchester,Nauru,4,1,"manage, window, director, boy, develop",751.45
22,52,Apartment,Entire place,West Samanthafurt,Latvia,4,2,"behavior, member, gun, increase, guy",807.98
23,112,Studio,Private room,Port Timothy,Kuwait,1,2,"travel, involve, main, kitchen, every",999.83
24,159,Studio,Shared room,Lake Amymouth,Saint Barthelemy,4,2,"poor, age, difficult, reflect, attorney",325.82
25,75,Studio,Shared room,Delgadotown,Mongolia,5,2,"people, available, impact, deep, describe",252.32
26,277,House,Private room,Mckinneyfort,Croatia,3,2,"conference, food, director, director, first",920.27
27,95,Studio,Private room,Lake Carlymouth,Cayman Islands,5,1,"project, Democrat, pass, official, indeed",606.73
28,245,House,Private room,Kimberlymouth,Uruguay,4,1,"condition, effort, shake, follow, happy",169.95
29,75,Studio,Entire place,Brandontown,Armenia,5,2,"player, focus, current, view, future",63.28
30,132,House,Private room,Port Meagan,Nepal,4,3,"cost, order, a, open, people",723.55
31,117,Studio,Private room,Lopezberg,Saint Lucia,3,2,"clearly, enter, society, ready, dark",947.91
32,35,Villa,Entire place,Nguyenborough,France,1,3,"way, so, challenge, lot, effect",118.27
33,12,Studio,Private room,Lake Heatherside,India,4,2,"sure, simply, foreign, question, couple",788.13
34,209,House,Private room,Kingbury,Western Sahara,3,3,"tonight, chance, off, month, explain",718.32
35,188,Villa,Private room,Michaelfort,Bolivia,3,2,"new, blood, resource, modern, keep",773.49
36,85,Villa,Shared room,South Marie,Dominica,1,2,"sea, time, face, trip, pull",811.74
37,203,Villa,Private room,Yufort,Turkmenistan,4,2,"threat, money, difficult, station, bad",981.14
38,273,House,Shared room,West Larry,Tajikistan,1,1,"improve, partner, national, threat, probably",773.38
39,27,Apartment,Shared room,East Elijahhaven,Korea,5,2,"say, side, western, north, include",819.93
40,285,Villa,Private room,Kevinburgh,El Salvador,1,1,"need, that, something, guy, local",807.84
41,22,House,Entire place,Williamsfort,Iraq,1,1,"teach, election, recent, quite, body",539.79
42,60,House,Entire place,Port Andreaberg,Benin,3,1,"often, week, learn, every, wonder",716.33
43,293,House,Private room,South Timothy,Nauru,1,1,"class, authority, hundred, close, my",954.31
44,101,Apartment,Private room,Nelsonshire,Guinea-Bissau,3,2,"capital, cold, decide, visit, message",251.26
45,242,Studio,Shared room,Georgefurt,Kenya,3,1,"city, drop, stock, moment, little",513.62
46,171,Studio,Entire place,Port Caitlin,Gibraltar,1,3,"series, radio, campaign, professor, space",55.19
47,209,Studio,Shared room,New Christophershire,Zambia,1,3,"your, a, color, our, until",909.59
48,181,Villa,Shared room,North Paulport,Korea,5,1,"happy, ready, inside, newspaper, movement",272.52
49,195,Villa,Shared room,Nuneztown,Namibia,5,1,"travel, night, may, prepare, almost",282.4
50,91,Apartment,Private room,Stevenland,Armenia,3,3,"draw, research, stock, issue, speak",338.79
51,69,House,Entire place,Barronhaven,Ecuador,2,3,"strong, at, yes, main, suffer",579.26
52,141,Studio,Private room,Port Ann,Faroe Islands,1,2,"career, might, center, answer, get",295.44
53,246,Studio,Entire place,North Leahside,Jersey,4,2,"last, Democrat, increase, Mr, oil",73.92
54,3,Studio,Shared room,Fitzpatrickville,Greece,3,1,"great, world, boy, watch, whom",495.58
55,165,Apartment,Private room,Brittanyfurt,Poland,4,2,"ago, seven, suggest, answer, question",656.87
56,65,Villa,Shared room,Terryport,Luxembourg,3,2,"avoid, would, senior, wrong, home",711.54
57,12,Apartment,Private room,Allenview,Comoros,2,3,"walk, final, visit, character, image",231.7
58,237,Villa,Private room,New Angela,Liberia,4,1,"before, it, account, perform, data",765.25
59,129,House,Private room,Franklinmouth,Cuba,3,1,"impact, opportunity, station, indeed, lawyer",717.81
60,154,Apartment,Entire place,Schultzburgh,Saint Pierre and Miquelon,5,3,"rock, author, face, place, investment",949.65
61,274,Apartment,Shared room,Rowetown,Saint Lucia,2,2,"dream, board, its, region, she",71.94
62,197,Studio,Entire place,Rogersville,Holy See (Vatican City State),5,1,"until, activity, natural, do, understand",114.61
63,228,Studio,Private room,Jamesburgh,Seychelles,2,3,"eat, medical, think, practice, history",532.71
64,218,Villa,Entire place,Edwardville,Guadeloupe,3,2,"husband, large, share, center, his",548.85
65,77,Studio,Entire place,Port Rachelstad,United Arab Emirates,1,2,"every, pressure, economy, heavy, red",688.63
66,61,House,Private room,New Lukehaven,Lesotho,1,2,"none, college, local, window, mother",225.61
67,128,Apartment,Private room,East Patricia,Martinique,1,3,"no, later, sometimes, she, animal",445.62
68,206,Villa,Shared room,Arellanoberg,Saint Vincent and the Grenadines,1,2,"start, source, me, partner, class",454.65
69,151,Apartment,Entire place,West Jeffrey,French Guiana,4,2,"clear, certainly, visit, affect, though",270.64
70,158,House,Entire place,Jonathanshire,Malawi,2,3,"on, none, identify, all, project",887.34
71,43,Villa,Entire place,Adamshaven,Belarus,3,3,"second, only, assume, Mrs, prevent",416.92
72,219,Studio,Private room,North Andrewburgh,Wallis and Futuna,2,1,"song, close, by, tree, raise",356.64
73,90,Apartment,Private room,Samanthaland,Barbados,2,3,"bar, win, effort, meet, own",629.58
74,194,Studio,Shared room,North Jeffrey,Tuvalu,3,2,"reveal, simple, nation, fish, fish",864.54
75,14,Villa,Private room,South Marie,Peru,2,3,"language, boy, else, six, four",927.84
76,7,Apartment,Shared room,Audreyton,Greece,5,1,"letter, science, both, size, brother",693.93
77,131,Villa,Private room,Kimberlyborough,Moldova,5,1,"possible, job, sign, return, edge",729.52
78,273,House,Shared room,Port Kelly,Ireland,4,1,"one, travel, camera, its, evidence",969.86
79,192,Studio,Private room,East Michael,Namibia,2,2,"science, detail, fact, account, act",386.63
80,247,Apartment,Entire place,Meganside,Australia,2,3,"own, level, development, fill, ask",244.34
81,200,Villa,Private room,South Erinstad,Cape Verde,4,3,"word, city, out, save, federal",576.82
82,167,Villa,Entire place,South Peter,Burundi,1,3,"generation, happen, factor, half, capital",443.35
83,58,Studio,Entire place,Marybury,New Caledonia,5,3,"could, like, become, offer, raise",380.4
84,200,Studio,Entire place,Schmidtfurt,Trinidad and Tobago,2,1,"paper, common, season, laugh, first",527.46
85,172,House,Shared room,Sullivanchester,Tunisia,4,3,"sometimes, war, quickly, recent, experience",57.82
86,213,House,Private room,North Victorfort,Estonia,3,2,"safe, involve, space, head, four",395.6
87,189,Villa,Entire place,New Kevin,Brunei Darussalam,3,3,"so, talk, team, boy, way",795.18
88,211,House,Shared room,Jodistad,Kyrgyz Republic,5,2,"perhaps, show, if, who, lot",369.64
89,77,Villa,Private room,North Manuel,Luxembourg,2,1,"real, receive, itself, sure, low",455.16
90,241,Apartment,Entire place,Owenston,India,5,1,"single, some, across, agree, card",628.7
91,237,House,Entire place,Port Jonathanburgh,Grenada,3,2,"himself, middle, capital, politics, enter",98.4
92,207,Villa,Entire place,Sanchezchester,Kiribati,1,3,"through, call, beautiful, hope, middle",354.93
93,127,Villa,Shared room,Mariofort,Bahamas,5,3,"enjoy, fine, relationship, issue, spring",699.49
94,39,Apartment,Shared room,Boonetown,Romania,1,3,"many, catch, wrong, home, daughter",298.31
95,210,Apartment,Private room,Sandratown,Jordan,2,2,"age, hold, into, federal, summer",510.11
96,121,Villa,Shared room,Port Lisahaven,Saudi Arabia,5,2,"shake, instead, cut, attorney, employee",585.96
97,188,Villa,Private room,West Christopher,Cameroon,1,1,"each, hotel, production, rest, business",399.3
98,201,House,Private room,New Mercedes,Oman,4,1,"moment, candidate, soldier, around, value",763.7
99,293,Villa,Shared room,West David,Ethiopia,5,3,"should, guy, career, action, foot",77.29
100,282,Studio,Private room,Gregoryhaven,Sri Lanka,5,3,"consider, government, word, top, seven",369.61
101,179,Villa,Shared room,Bradleyfurt,Bouvet Island (Bouvetoya),2,3,"everything, he, hit, every, several",94.03
102,123,Apartment,Private room,Michelleview,Christmas Island,4,3,"color, pressure, region, section, why",808.69
103,283,House,Private room,West Kimberlyside,Honduras,3,1,"executive, alone, may, important, bag",679.93
104,260,Villa,Shared room,Port Heatherburgh,Monaco,1,1,"employee, campaign, same, baby, whether",937.38
105,151,House,Entire place,Smithhaven,South Georgia and the South Sandwich Islands,4,1,"best, sing, reason, paper, meet",510.69
106,6,Apartment,Private room,Pachecomouth,Christmas Island,5,2,"live, amount, pick, difference, loss",852.32
107,175,Studio,Shared room,Kimberlyland,Guinea,3,2,"someone, partner, allow, there, way",263.78
108,239,Studio,Private room,Brandiborough,Guadeloupe,2,2,"traditional, inside, so, cold, final",171.94
109,239,House,Shared room,Lake Kyle,Antigua and Barbuda,5,3,"across, policy, property, television, poor",460.64
110,203,House,Entire place,New Ronald,New Zealand,4,1,"local, heavy, pull, enough, available",545.94
111,8,Studio,Private room,Carrieville,China,1,2,"tend, while, fill, other, perhaps",431.02
112,175,House,Entire place,Andersonhaven,United Kingdom,3,3,"style, here, under, certain, natural",391.79
113,103,Studio,Shared room,Jamestown,Armenia,2,1,"town, leader, still, maintain, network",160.95
114,95,Apartment,Shared room,Davidtown,Malta,4,1,"possible, real, car, until, gas",170.69
115,237,House,Private room,South Travis,Bouvet Island (Bouvetoya),1,2,"meeting, approach, address, child, some",281.12
116,210,Studio,Private room,Port Kurt,Namibia,3,1,"national, would, industry, open, standard",339.61
117,209,Villa,Private room,Lake Shelia,New Zealand,2,2,"hard, security, magazine, perhaps, for",559.9
118,107,Villa,Shared room,South Meredith,Armenia,3,3,"discuss, somebody, market, quite, major",936.11
119,205,Villa,Shared room,South Abigail,Nepal,3,3,"tell, energy, inside, line, mean",136.87
120,274,Studio,Shared room,Matthewburgh,Marshall Islands,4,2,"good, history, sure, across, American",220.31
121,60,Villa,Shared room,New Michaelberg,Belize,3,2,"movie, always, conference, field, white",87.69
122,230,Villa,Entire place,Emilystad,Marshall Islands,3,3,"others, whole, control, few, sell",590.36
123,180,Studio,Shared room,Hammondshire,Monaco,3,3,"magazine, religious, agent, short, home",167.32
124,75,Studio,Private room,South Elizabeth,Liberia,2,2,"more, and, true, toward, money",505.66
125,227,Studio,Private room,Millerfort,Cape Verde,2,2,"number, somebody, per, success, five",257.22
126,54,Apartment,Private room,West Carolynland,Martinique,1,2,"collection, think, room, late, various",779.01
127,212,House,Entire place,Sharonville,Dominican Republic,1,1,"last, federal, probably, trouble, election",548.88
128,229,Apartment,Entire place,Harrisside,Serbia,1,1,"total, social, history, two, indicate",954.23
129,87,Studio,Entire place,New Laura,Iran,3,1,"thing, read, trade, pull, western",144.32
130,138,Villa,Shared room,Williamsonton,Saudi Arabia,5,2,"experience, marriage, attack, possible, remain",105.67
131,50,Apartment,Entire place,Rowlandburgh,Vietnam,3,2,"sit, act, cup, actually, camera",487.0
132,106,Studio,Shared room,Port Jacquelinehaven,Nauru,4,1,"blue, not, serious, everyone, measure",494.74
133,291,Studio,Entire place,Lake Christianfort,British Virgin Islands,3,1,"bed, whose, computer, citizen, administration",293.55
134,23,Studio,Shared room,East Donnastad,Zambia,4,1,"admit, specific, chair, including, high",187.99
135,278,Apartment,Private room,West Alanshire,Christmas Island,4,2,"bill, system, model, standard, without",744.5
136,129,Studio,Shared room,Arielburgh,Anguilla,2,2,"any, southern, they, blue, call",885.69
137,234,House,Shared room,West Rachelside,Saint Pierre and Miquelon,5,1,"quickly, lay, born, push, last",478.19
138,252,Villa,Entire place,Kennethburgh,New Caledonia,3,1,"energy, day, current, fine, sound",690.59
139,3,Villa,Entire place,Smithport,Iran,2,3,"spring, kind, difference, lose, say",983.71
140,142,Apartment,Entire place,New Evanfort,Uganda,5,2,"sport, fall, personal, put, worry",187.0
141,266,Apartment,Private room,Michelleville,Qatar,3,1,"ask, east, best, world, old",284.85
142,117,House,Private room,Lake Joshuaberg,Jersey,5,2,"next, participant, measure, area, involve",255.87
143,268,Villa,Shared room,Joanntown,Heard Island and McDonald Islands,4,3,"office, product, store, happy, south",144.0
144,195,Apartment,Shared room,Middletonmouth,Iceland,3,2,"last, forget, seven, yet, eye",996.87
145,300,Villa,Private room,West Tinamouth,Aruba,5,3,"third, condition, program, camera, loss",378.47
146,114,Apartment,Shared room,Lake Brendaview,Iran,4,1,"animal, argue, place, cultural, skill",540.27
147,97,Villa,Private room,North Sarah,Bahrain,3,2,"stock, might, practice, decide, sign",237.13
148,64,Studio,Private room,Shawnborough,Mongolia,3,3,"former, someone, beat, everything, respond",62.97
149,237,Apartment,Private room,Ericport,Denmark,3,2,"alone, most, lose, rather, bar",975.77
150,173,Apartment,Shared room,Maryport,Turkmenistan,3,2,"process, make, operation, enough, determine",627.37
151,293,House,Private room,Lake Reneeside,Bulgaria,1,2,"yourself, tough, catch, argue, address",66.64
152,279,House,Private room,Port Ericberg,Lebanon,2,1,"meet, choice, want, stock, it",168.36
153,170,Villa,Shared room,South Kimberly,Greenland,5,2,"before, him, run, hundred, include",589.27
154,11,Apartment,Entire place,Greenstad,Turkey,2,1,"deal, I, way, suddenly, style",459.23
155,121,Apartment,Shared room,Adamsside,Algeria,5,3,"pay, knowledge, off, already, heavy",357.7
156,157,Apartment,Shared room,Gregoryburgh,Argentina,1,2,"safe, before, one, there, third",766.77
157,159,Studio,Shared room,Weeksville,Albania,4,3,"option, policy, enter, difference, example",916.58
158,177,Apartment,Shared room,Hernandezton,Montenegro,4,1,"news, live, standard, will, stock",881.59
159,221,Studio,Shared room,South Paulafurt,Austria,3,3,"cover, something, wide, son, last",932.9
160,240,House,Private room,Arnoldtown,Portugal,3,2,"base, chance, natural, huge, view",884.64
161,108,Apartment,Entire place,Michellemouth,Malawi,4,3,"care, impact, when, blood, up",574.72
162,79,Studio,Entire place,Lake Lawrenceberg,Colombia,2,1,"prevent, author, sit, include, medical",554.21
163,80,House,Private room,New Chad,Norway,1,1,"real, last, arm, these, order",443.84
164,134,Apartment,Shared room,South Ann,North Macedonia,1,2,"can, require, play, adult, least",69.19
165,132,Apartment,Entire place,New Taylorland,Equatorial Guinea,2,3,"pretty, night, office, process, move",424.41
166,131,Apartment,Private room,South Jamesstad,Australia,1,1,"wife, base, difficult, public, free",397.22
167,166,Apartment,Entire place,North Nancyburgh,Kenya,2,2,"single, protect, eye, time, appear",382.82
168,224,House,Entire place,Port Troy,Vietnam,1,1,"old, people, debate, memory, however",621.03
169,183,Villa,Shared room,Port Wendy,Kiribati,3,1,"project, three, meet, world, future",218.38
170,70,Apartment,Private room,North Valeriebury,Bermuda,4,2,"president, space, TV, would, line",990.26
171,236,Villa,Shared room,Port Juliehaven,Nigeria,3,1,"try, discover, yet, financial, project",644.94
172,52,Villa,Entire place,Simonmouth,Netherlands Antilles,5,2,"scene, bit, let, maybe, action",973.22
173,212,Apartment,Private room,New Shane,Isle of Man,3,2,"mention, blue, power, leg, series",874.91
174,167,Villa,Entire place,South Kennethtown,Faroe Islands,2,2,"scientist, employee, trouble, professor, environmental",242.57
175,169,Villa,Private room,West Amandaton,Saint Vincent and the Grenadines,4,1,"science, wonder, voice, tax, while",353.14
176,236,House,Shared room,West Dennis,Norfolk Island,3,2,"effort, both, detail, audience, head",899.58
177,252,Studio,Shared room,Michaelshire,Saint Pierre and Miquelon,4,2,"wonder, interest, bed, seat, almost",271.92
178,184,Apartment,Shared room,Corymouth,Brazil,2,3,"employee, here, three, put, perhaps",99.11
179,278,Studio,Shared room,Christopherchester,Burkina Faso,4,2,"provide, give, simple, public, every",517.59
180,36,Villa,Shared room,Ellenbury,Indonesia,2,2,"million, machine, close, care, learn",776.5
181,18,Apartment,Private room,Lindseymouth,Puerto Rico,4,2,"nature, suffer, on, listen, realize",241.52
182,149,Studio,Shared room,West Angelstad,Cyprus,4,1,"total, authority, certainly, research, here",536.03
183,90,Studio,Entire place,Jerrybury,Lao People's Democratic Republic,5,2,"case, already, record, contain, especially",818.87
184,63,House,Private room,Bowersmouth,Lao People's Democratic Republic,4,2,"civil, entire, outside, science, site",699.16
185,289,Villa,Shared room,North Tammyton,Dominica,5,3,"fast, perhaps, site, these, general",545.31
186,230,House,Private room,New Katrinaville,Chile,5,1,"leave, history, career, interview, do",777.85
187,291,House,Shared room,Annettechester,Reunion,2,1,"type, crime, quality, drive, production",349.44
188,83,Apartment,Entire place,Michaelview,Hong Kong,5,3,"writer, actually, week, beyond, modern",74.48
189,296,Apartment,Shared room,Alexanderview,Swaziland,5,1,"only, sound, toward, total, over",882.14
190,212,Studio,Entire place,Jessicatown,Macao,3,3,"truth, town, election, within, ten",187.12
191,77,Apartment,Entire place,Wattsstad,Armenia,2,1,"sit, play, medical, sister, claim",281.37
192,284,Studio,Entire place,New Willie,Panama,5,3,"through, reality, action, deep, fill",289.96
193,300,Villa,Entire place,East Brandi,Israel,3,3,"deep, affect, model, possible, bit",664.66
194,175,Villa,Private room,Virginiatown,Luxembourg,5,1,"dream, east, heavy, another, doctor",122.99
195,219,House,Shared room,Reyesville,Jersey,4,2,"design, remember, do, drive, he",56.78
196,199,Villa,Entire place,Dominguezberg,Holy See (Vatican City State),5,1,"media, together, lay, budget, everyone",182.98
197,28,Studio,Private room,East Sharon,Monaco,3,1,"sign, worker, last, reveal, simply",930.39
198,120,House,Entire place,Prattbury,Aruba,4,2,"choose, political, exist, follow, feel",813.94
199,43,Apartment,Entire place,East Oliviabury,Brunei Darussalam,4,3,"there, easy, hard, visit, hard",219.39
200,227,Apartment,Shared room,New Vincent,Rwanda,1,3,"threat, painting, sport, imagine, treat",186.14
201,298,Villa,Entire place,East Nicholas,Cayman Islands,5,3,"commercial, our, many, contain, should",931.63
202,7,Villa,Entire place,Cardenashaven,Cambodia,3,3,"store, generation, including, economic, late",369.67
203,61,House,Shared room,Josephport,Czech Republic,3,3,"up, certain, top, allow, energy",601.78
204,35,House,Shared room,West Tarabury,Greenland,2,1,"treatment, here, political, box, buy",499.98
205,75,Apartment,Entire place,North Parker,Mayotte,2,2,"skill, end, heart, cold, level",357.41
206,78,House,Private room,Jamiemouth,Honduras,5,1,"last, organization, camera, dog, other",815.5
207,220,House,Shared room,Port Timothyville,Papua New Guinea,5,1,"shake, computer, senior, run, low",775.96
208,18,Villa,Shared room,Kellyhaven,Saint Lucia,4,3,"leave, order, election, wrong, administration",754.19
209,213,Studio,Shared room,East Derrick,Bosnia and Herzegovina,3,1,"sense, source, everything, tell, hope",885.33
210,158,Studio,Shared room,Port Scottchester,Georgia,3,3,"newspaper, partner, woman, involve, rise",114.22
211,47,Villa,Private room,Jonesview,Afghanistan,1,2,"great, control, nearly, as, suddenly",418.11
212,252,Apartment,Entire place,Andersonstad,Korea,1,3,"go, eye, score, trip, identify",621.86
213,31,Villa,Entire place,Larryborough,El Salvador,4,2,"area, play, set, start, natural",131.96
214,124,Villa,Private room,New Carolshire,Aruba,3,2,"seat, color, woman, need, without",70.25
215,231,Studio,Entire place,Davismouth,Djibouti,5,3,"any, degree, itself, young, hear",706.45
216,145,Studio,Shared room,Brianshire,New Zealand,5,1,"movie, much, Republican, truth, decide",962.09
217,207,Apartment,Entire place,Stevenfurt,Vanuatu,5,1,"brother, want, author, test, kind",187.81
218,257,House,Shared room,West Malloryside,Andorra,5,1,"free, artist, during, author, price",408.1
219,225,Studio,Shared room,New Jasonshire,Jordan,4,2,"past, lay, bar, turn, leg",889.31
220,269,Apartment,Shared room,Garyfort,Mayotte,2,2,"wide, spring, activity, national, theory",702.95
221,152,House,Shared room,Webbtown,Canada,1,3,"center, doctor, home, end, speech",160.83
222,172,Studio,Shared room,Ericville,Finland,5,1,"hand, red, him, present, success",467.01
223,47,Apartment,Shared room,Harriston,Myanmar,3,3,"ahead, throughout, network, mouth, commercial",999.58
224,264,Villa,Entire place,Lake Jacob,Svalbard & Jan Mayen Islands,3,1,"whatever, course, somebody, per, political",145.89
225,84,Apartment,Entire place,Jacksontown,Cote d'Ivoire,1,1,"to, president, himself, approach, test",199.95
226,140,House,Shared room,Lake Christopher,Bouvet Island (Bouvetoya),3,2,"one, foot, billion, bar, money",699.27
227,270,Apartment,Private room,East Jayview,Germany,2,2,"here, great, on, hope, blue",159.64
228,72,House,Private room,Roseville,Ethiopia,1,1,"kid, like, who, society, single",523.7
229,25,Apartment,Entire place,New Elizabeth,Belarus,3,2,"throughout, scene, approach, work, last",970.22
230,262,House,Private room,Holmesshire,Slovakia (Slovak Republic),1,1,"allow, why, personal, speak, condition",478.35
231,14,Villa,Shared room,New Joshua,French Guiana,1,1,"mission, reflect, significant, anything, east",164.71
232,85,House,Entire place,East Jaclyn,Uruguay,5,3,"win, soon, itself, nature, sometimes",141.01
233,284,Villa,Shared room,Gordonshire,Bolivia,5,3,"brother, million, remain, indeed, level",175.55
234,90,Apartment,Private room,Maloneland,Isle of Man,4,3,"policy, else, physical, simple, education",445.96
235,217,House,Entire place,East Deborahville,Cyprus,5,1,"during, choose, head, later, according",387.81
236,225,Villa,Entire place,Kimberlyton,Paraguay,4,1,"Mr, hundred, actually, form, public",297.58
237,213,Villa,Private room,New Olivia,Canada,3,3,"figure, as, writer, total, college",531.04
238,209,Studio,Shared room,Hunterville,Canada,1,1,"various, picture, exactly, rich, until",243.51
239,161,Villa,Entire place,Lake April,Somalia,1,2,"record, possible, become, north, wear",973.79
240,207,Studio,Entire place,South Richardside,Barbados,3,2,"particularly, technology, leave, whose, involve",421.01
241,27,House,Private room,Riveraville,Colombia,1,2,"perform, hear, establish, federal, window",159.3
242,235,House,Shared room,Lake Bradleyville,Kenya,4,3,"eight, trade, military, large, yard",491.86
243,32,Apartment,Shared room,New Marissa,Germany,4,2,"skill, own, this, morning, card",471.82
244,195,Apartment,Shared room,East Williamborough,Hungary,1,2,"look, listen, health, factor, nice",993.2
245,110,Studio,Entire place,Jonesstad,Korea,5,3,"half, least, place, chance, ago",840.2
246,192,House,Entire place,Pollardfurt,Cayman Islands,3,1,"data, stay, good, very, avoid",542.6
247,288,Studio,Shared room,Port Christine,Namibia,2,2,"politics, sister, he, body, lawyer",169.34
248,129,Studio,Private room,Lake Earlview,Qatar,3,3,"well, attorney, stand, set, impact",759.05
249,231,Apartment,Entire place,South Glenn,Tokelau,3,2,"hundred, why, remember, drive, usually",81.51
250,281,Studio,Shared room,Mathismouth,Sri Lanka,5,1,"table, citizen, reflect, weight, while",179.26
251,230,Studio,Shared room,Powellport,Senegal,5,2,"side, western, born, world, heavy",903.37
252,43,Studio,Entire place,Mendozabury,Nepal,5,3,"east, work, break, watch, light",683.72
253,31,Apartment,Private room,Brockbury,British Indian Ocean Territory (Chagos Archipelago),3,3,"report, I, sign, short, art",730.12
254,67,House,Shared room,New Andrewhaven,Kuwait,4,2,"pattern, beautiful, board, agree, moment",856.73
255,65,Studio,Shared room,Port Joshuaside,Nicaragua,3,2,"decade, hair, body, than, save",751.02
256,67,Studio,Private room,North Kim,Latvia,3,3,"pick, hear, game, water, season",195.99
257,91,Apartment,Entire place,Williamsland,Fiji,5,2,"should, exist, space, whole, own",282.5
258,278,Apartment,Private room,Lake Karen,Burundi,1,2,"late, bit, none, professional, maintain",586.11
259,182,House,Shared room,South Crystalmouth,Hong Kong,5,1,"court, conference, drop, industry, surface",697.11
260,121,Apartment,Entire place,West Alexanderhaven,Bangladesh,5,1,"fear, use, structure, whatever, hope",141.94
261,59,Apartment,Shared room,South Maureen,British Indian Ocean Territory (Chagos Archipelago),3,3,"walk, care, cost, guy, recent",693.13
262,200,Apartment,Shared room,New Seth,Honduras,4,2,"allow, contain, nation, environment, fire",318.45
263,100,Studio,Entire place,Port Teresa,Singapore,5,3,"street, ready, write, improve, within",275.03
264,10,House,Shared room,Kristenton,Cote d'Ivoire,2,1,"discuss, phone, price, raise, middle",974.13
265,213,Apartment,Shared room,Lake Jacquelinestad,Yemen,5,1,"about, many, later, age, any",740.72
266,21,Apartment,Shared room,Taylorside,Cape Verde,2,2,"central, good, responsibility, amount, before",112.32
267,119,Apartment,Private room,Montgomerytown,Slovenia,5,3,"drug, hospital, fear, commercial, one",281.63
268,179,Studio,Entire place,Port Rachelberg,Yemen,1,2,"site, good, bed, event, than",898.15
269,294,Studio,Entire place,Lake Chadfurt,Monaco,5,1,"religious, appear, year, cup, world",435.34
270,70,Villa,Private room,Underwoodport,Maldives,5,3,"ago, whom, hundred, person, season",373.23
271,13,Studio,Shared room,Bryanborough,Tajikistan,1,2,"PM, every, cost, eight, ever",821.84
272,1,House,Private room,Montgomeryburgh,Montserrat,3,1,"capital, gas, factor, away, money",393.75
273,2,Studio,Private room,North Austin,Cameroon,2,3,"training, impact, boy, effort, these",132.23
274,204,Studio,Private room,Gutierrezbury,Burkina Faso,2,3,"color, rich, focus, tell, allow",592.81
275,266,Apartment,Shared room,Doyleport,Swaziland,3,1,"race, hold, certain, gas, century",260.0
276,170,Apartment,Private room,Lauriemouth,Sri Lanka,4,3,"where, land, moment, someone, Mr",998.54
277,263,Villa,Shared room,Ashleyton,Samoa,4,1,"top, interview, because, pressure, scene",67.84
278,102,House,Shared room,Yateston,Croatia,3,1,"long, mother, performance, new, product",881.53
279,126,Apartment,Private room,Walkerfort,Kyrgyz Republic,2,1,"become, avoid, accept, question, theory",792.88
280,20,House,Private room,Lake Alexanderfort,Bermuda,2,3,"newspaper, ball, perform, almost, goal",171.64
281,265,Villa,Entire place,Melissaburgh,Gabon,2,3,"week, beyond, agent, only, leg",995.71
282,128,Apartment,Entire place,Deannafurt,Bhutan,2,2,"whatever, model, despite, bit, recently",367.65
283,251,House,Shared room,Conwayfort,Croatia,5,3,"safe, budget, tree, small, might",842.88
284,24,Villa,Private room,Stewartmouth,Guernsey,2,2,"star, bar, action, girl, five",208.8
285,272,House,Entire place,Heidistad,Mongolia,4,2,"player, government, race, attack, professor",778.43
