Booking_ID,Property_ID,Date_ID,Customer_ID,Host_ID,Revenue,Nights_Booked,Number_of_Guests,Cleaning_Fee,Service_Fee
151,298,746,2464,170,2356.39,15,1,39.3,22.14
152,580,659,4149,12,4936.08,3,7,52.83,145.34
153,1207,380,3597,247,3621.35,12,1,158.7,83.26
154,1408,1731,4352,242,4035.84,1,3,195.23,38.1
155,756,1147,1049,109,1602.49,12,4,196.95,52.1
156,281,641,4086,225,4219.94,8,7,57.03,25.11
157,597,70,1423,191,4423.57,2,1,74.57,138.58
158,36,1163,1176,84,685.31,17,8,30.91,30.26
159,1181,514,3099,129,1947.96,15,6,74.61,29.57
160,1396,1516,969,134,2782.14,13,4,109.01,84.29
161,1283,292,1408,199,915.9,18,3,29.11,56.61
162,503,1119,2801,52,3976.67,1,3,66.44,114.26
163,1146,83,986,42,2507.29,9,4,135.62,145.09
164,1384,1271,153,60,2806.84,19,3,138.45,17.97
165,518,1534,2974,128,166.62,18,8,119.5,68.6
166,1289,864,1268,216,2843.11,8,7,149.7,105.39
167,55,138,4630,264,4062.07,7,3,184.32,120.29
168,843,893,709,41,3165.5,11,5,38.72,129.67
169,1134,1682,4995,49,517.49,20,1,38.25,13.26
170,313,1112,2356,46,3421.6,3,4,74.29,112.74
171,380,1755,1366,254,4789.93,1,8,170.89,47.42
172,98,1279,4795,128,1014.71,3,5,20.8,106.24
173,61,1286,2264,123,3526.08,7,1,156.42,140.72
174,1097,1022,3832,244,786.11,4,3,159.31,126.43
175,687,1087,2149,285,4430.37,9,5,173.99,86.22
176,1213,688,4043,210,3184.31,11,3,42.13,84.36
177,757,1037,2098,174,1037.36,18,5,149.02,127.65
178,86,1458,535,190,4410.72,16,5,75.35,20.16
179,521,1428,4908,248,1995.56,15,5,149.9,127.62
180,680,1084,78,152,87.82,19,6,147.15,71.33
181,539,768,4715,180,915.71,12,1,177.21,21.78
182,1255,48,1861,296,3548.17,7,4,161.93,48.96
183,894,552,695,213,4306.23,19,4,104.11,137.92
184,753,164,776,36,1477.4,11,8,144.34,49.45
185,685,1370,1503,137,4079.9,1,2,160.44,39.91
186,541,599,1408,217,2631.08,7,8,148.27,118.47
187,1131,755,3169,213,907.36,6,7,159.92,66.52
188,273,1818,1862,77,1590.18,11,2,93.32,138.53
189,1065,127,1849,54,1019.67,17,1,61.19,31.91
190,266,73,4168,170,3640.73,1,2,93.81,20.23
191,544,1620,3979,3,4932.27,9,7,139.83,23.36
192,510,126,2058,46,2594.37,1,8,123.62,103.66
193,326,562,437,19,569.26,9,4,34.08,147.92
194,806,1636,3185,57,2548.28,19,2,146.51,83.85
195,770,590,4904,249,871.5,15,8,42.87,110.9
196,200,1443,457,213,650.18,20,7,88.56,111.26
197,1454,1142,1436,32,1359.29,12,8,55.92,121.29
198,1336,144,395,277,3980.9,2,8,164.95,65.2
199,1497,334,2766,220,4668.79,13,4,122.14,30.12
200,1234,1758,1380,109,4111.17,15,7,34.46,105.32
201,94,689,3184,117,3834.14,9,1,141.29,45.2
202,556,247,36,296,3551.94,15,7,67.13,124.22
203,66,58,4125,264,4646.35,4,3,196.34,116.71
204,1285,1815,344,85,3957.69,14,5,184.08,123.48
205,912,1640,4447,252,3625.48,20,1,71.4,107.9
206,382,1609,4014,124,620.6,19,2,32.77,67.17
207,680,546,3769,186,3824.98,10,5,121.75,129.33
208,739,1548,1264,78,2484.98,19,8,101.37,28.42
209,1073,1408,2892,112,4027.03,4,5,129.03,125.66
210,769,528,1353,107,4007.4,7,6,108.93,112.21
211,1282,62,2879,125,2614.74,14,5,45.44,35.8
212,498,1156,824,278,2755.66,3,1,166.26,149.42
213,768,1095,2188,50,2374.45,8,2,51.52,28.89
214,210,909,4069,106,2288.32,5,1,97.47,74.75
215,796,731,4776,90,3161.12,18,7,91.55,115.35
216,554,858,90,146,1039.47,1,8,92.97,86.88
217,11,74,1865,183,2983.85,21,2,31.39,53.76
218,276,432,4665,168,591.31,10,5,185.8,71.24
219,659,1226,3739,27,2773.72,7,5,175.72,108.38
220,480,1069,3563,32,4991.35,12,8,157.45,123.09
221,1485,1403,4434,154,2890.07,16,2,35.44,46.04
222,1110,1641,4310,250,3218.87,20,3,67.47,35.09
223,611,1632,962,140,4478.73,12,1,62.32,113.72
224,626,588,619,37,1819.84,20,2,40.34,119.28
225,278,1601,4456,136,2371.39,6,4,192.31,105.52
226,720,1146,3461,154,1763.83,5,6,108.47,98.65
227,148,1805,4384,65,3039.28,8,3,42.8,33.43
228,2,1677,2152,38,3419.13,13,5,178.37,102.31
229,59,1183,1992,74,2699.26,11,2,136.8,97.33
230,1146,1294,4031,247,944.62,6,5,176.5,116.34
231,547,1713,3691,200,1211.91,2,6,22.35,84.43
232,1192,868,1687,139,1835.61,14,2,61.71,112.5
233,1107,1456,2794,139,1839.13,3,8,36.74,41.9
234,786,49,2575,259,4095.35,3,3,38.86,110.07
235,372,364,534,117,2686.0,10,3,138.12,145.37
236,100,1199,4112,124,4400.64,10,7,62.32,133.74
237,1087,972,192,94,3643.05,5,2,189.55,24.89
238,924,276,1502,66,1380.49,4,6,77.49,79.94
239,72,422,1751,48,2792.66,18,3,176.44,93.87
240,101,1739,1057,282,3288.21,10,4,146.04,73.12
241,1119,76,1000,109,1587.95,17,3,174.72,107.83
242,1259,1670,4083,15,4151.53,16,1,141.4,109.26
243,387,818,1749,145,1575.64,14,3,198.8,85.4
244,1087,1069,2300,284,843.09,3,1,45.41,91.41
245,1244,995,2019,201,3824.79,2,1,53.05,127.0
246,1050,181,428,190,980.51,16,1,132.46,91.74
247,1099,1296,3515,185,1535.18,3,8,123.72,57.65
248,623,34,3549,187,1201.83,16,8,159.9,124.64
249,87,482,1162,60,1325.52,20,3,163.15,13.05
250,574,669,3090,32,2452.9,15,4,35.91,34.96
251,178,1219,892,245,3034.02,11,5,94.2,30.73
252,1062,73,4970,180,4707.75,14,1,21.28,31.84
253,1462,57,448,24,2682.35,14,8,117.43,148.12
254,330,31,1775,23,3060.2,4,7,117.57,133.93
255,1382,1490,2158,152,3647.61,13,1,51.24,109.72
256,169,1114,2040,266,273.84,1,5,67.86,95.67
257,137,40,1878,261,3913.48,13,2,67.75,31.46
258,903,190,4158,76,4787.43,3,3,174.75,58.79
259,918,1099,3733,180,3683.33,20,6,74.81,140.56
260,1084,560,2398,119,2505.3,16,8,129.08,39.93
261,1315,1493,3933,15,2104.16,21,6,88.68,65.22
262,788,993,3273,168,2943.52,21,4,187.95,15.21
263,1293,572,2770,31,2980.62,5,7,32.47,100.28
264,1210,518,4736,226,202.85,4,7,26.14,29.22
265,508,50,4617,44,1414.16,20,8,124.25,147.11
266,1366,430,2888,47,270.41,7,6,68.44,94.45
267,730,158,752,60,929.34,2,3,27.38,71.82
268,233,1213,921,102,1189.56,19,6,49.69,24.82
269,339,1789,519,269,1466.46,7,6,139.19,10.83
270,884,1401,944,68,4757.15,18,2,98.56,139.71
271,710,490,1203,128,3032.85,5,2,157.61,69.62
272,354,1583,3780,160,2606.23,1,3,58.92,29.78
273,265,1672,4342,295,1459.62,1,4,150.08,61.24
274,518,1493,383,127,1288.93,19,8,127.18,44.1
275,960,887,2295,272,97.63,3,2,125.72,65.42
276,150,555,3904,130,1933.65,10,5,138.75,53.77
277,487,802,241,211,4901.76,17,2,184.17,68.95
278,1464,1628,87,202,3271.36,21,8,25.37,92.14
279,107,1159,2778,56,2290.83,21,6,148.47,134.62
280,709,636,2006,99,1242.96,5,8,93.75,51.96
281,1108,1678,4734,74,446.95,11,2,29.08,117.47
282,379,490,617,164,3587.02,7,1,55.43,56.01
283,398,738,1485,276,2271.72,10,3,100.87,85.25
284,1241,707,858,111,4562.79,12,8,48.59,80.26
285,520,601,1186,223,606.65,6,1,153.39,40.8
286,1358,529,3153,34,3047.16,16,5,117.69,91.14
287,183,1550,4645,108,96.02,17,8,34.06,94.07
288,1204,1750,2599,56,1049.07,12,4,142.54,95.74
289,251,225,2464,166,3925.96,1,2,127.05,36.54
290,1308,1768,4195,118,4252.33,16,8,155.62,29.79
291,1281,47,737,33,2934.54,5,6,102.18,32.82
292,355,602,1484,85,4150.22,6,4,99.99,64.78
293,1467,13,4314,218,3358.93,11,7,93.89,19.42
294,1019,361,4306,221,1781.21,18,1,61.35,87.17
295,781,164,2399,53,2658.93,19,5,26.31,70.87
296,913,958,4655,208,3558.09,17,3,125.92,124.8
297,1370,1476,3692,236,2845.48,21,4,24.29,54.54
298,85,644,4317,241,3629.81,11,5,174.38,27.0
299,612,1025,1851,53,2202.52,16,7,168.81,29.89
300,58,1263,4821,243,2903.45,18,5,129.14,70.35
301,730,866,2004,153,4971.38,18,5,34.83,54.62
302,540,124,4021,223,4651.11,20,3,196.39,92.22
303,285,1743,2987,112,4077.59,21,6,84.91,114.2
304,149,1198,2353,87,3570.19,17,2,128.79,125.68
305,970,563,552,62,3992.42,21,8,31.97,14.8
306,1365,1611,3246,73,4990.1,16,7,143.92,123.96
307,422,727,3126,58,1640.01,8,5,138.33,141.87
308,633,1787,669,249,4505.95,12,1,147.75,53.26
309,265,1555,1291,18,4552.18,12,2,133.7,97.71
310,226,189,3978,267,933.55,9,6,129.93,105.47
311,1361,330,343,222,2946.96,19,7,196.85,84.48
312,415,1797,3719,209,4781.61,7,1,75.7,70.45
313,941,744,2270,68,3115.19,12,1,130.55,71.55
314,1163,728,1059,39,2479.81,4,8,42.98,81.12
315,75,1426,1979,38,3952.48,6,4,106.5,90.01
316,736,726,4497,192,536.06,8,7,188.25,119.34
317,1449,826,4958,107,1096.43,18,4,112.41,111.3
318,1498,552,3129,263,2576.73,4,2,82.39,145.37
319,246,1290,3612,229,840.37,8,5,92.71,50.03
320,1108,814,2912,45,442.84,14,7,35.97,120.6
321,1306,28,2164,171,4020.76,12,6,25.62,85.23
322,985,1483,3390,273,2889.67,3,7,68.47,41.87
323,1000,1560,2658,42,4179.74,12,2,74.8,128.94
324,783,1383,4028,242,3828.46,20,7,58.42,54.82
325,1150,595,3432,35,1595.62,10,2,24.31,78.48
326,513,632,4022,270,2875.58,20,2,162.68,111.16
327,488,227,3532,268,286.19,1,7,115.14,53.16
328,251,50,4815,300,1232.77,11,2,70.95,44.59
329,330,1759,2548,240,1097.09,10,6,181.15,67.15
330,1423,1506,4545,269,2428.12,3,8,184.48,65.84
331,785,1294,2284,239,3759.45,20,2,164.5,110.6
332,105,1767,3768,300,767.55,9,6,140.32,113.76
333,1352,751,1648,177,429.68,17,5,54.5,75.83
334,490,315,1496,138,4603.7,20,5,64.9,53.45
335,672,726,585,87,1751.71,21,7,158.3,112.07
336,592,1221,427,68,4741.67,7,4,186.6,45.15
337,1189,1488,910,36,1341.19,15,8,70.74,103.13
338,1033,1133,1315,255,177.9,8,5,176.9,65.7
339,471,955,28,143,2797.35,3,2,91.33,44.35
340,466,720,120,31,1380.04,17,7,190.38,134.62
341,1401,684,3847,274,3448.89,19,3,155.74,36.75
342,403,697,2071,41,251.63,14,3,142.87,108.39
343,355,1512,4607,220,4985.9,17,2,174.42,55.38
344,834,1586,4429,203,801.35,3,2,193.91,91.15
345,302,547,4051,91,1137.78,7,7,68.75,16.16
346,735,696,674,269,4022.85,15,3,97.31,33.04
347,1074,1732,728,135,2391.66,14,7,155.66,94.4
348,428,1493,1662,299,498.39,4,6,164.11,148.92
349,1095,820,1464,158,3176.29,3,2,124.22,28.49
350,1044,1402,1409,200,2754.93,14,5,70.27,130.77
351,1221,834,2619,156,1571.78,14,5,35.41,123.45
352,233,378,4176,53,1947.1,5,4,27.84,84.57
353,1016,1302,1058,235,2383.24,4,8,137.83,65.71
354,29,653,4822,9,436.56,11,6,25.2,128.22
355,788,1345,676,210,4590.76,12,2,120.14,58.49
356,377,1236,3951,297,1093.05,15,1,172.88,44.01
357,215,1340,305,120,3644.23,10,7,47.52,139.81
358,785,293,677,106,2038.69,10,4,168.68,48.32
359,186,253,4109,180,4442.0,2,7,88.71,68.88
360,68,1295,3687,202,2102.99,17,2,53.52,85.63
361,1283,1077,2115,191,1319.89,5,6,93.44,110.65
362,1063,1003,4025,78,2740.21,11,7,129.21,46.1
363,360,547,3888,122,4773.53,21,4,86.79,102.21
364,1165,628,135,34,4372.01,10,2,129.23,39.27
365,216,36,2118,229,2968.23,13,7,65.36,68.92
366,1080,179,3154,293,2647.5,1,4,165.32,30.39
367,789,1273,1575,101,340.67,2,4,185.51,71.34
368,1103,373,360,260,2696.16,13,4,188.1,86.69
369,950,1483,3037,215,2752.77,3,2,94.33,143.76
370,1262,1139,4073,173,1498.08,21,4,108.0,43.53
371,1115,1150,2805,11,270.08,11,1,147.18,98.95
372,885,1300,4013,33,3129.62,1,2,149.84,140.5
373,1285,285,1962,232,3435.75,4,3,94.79,20.07
374,1342,703,2787,180,1317.81,1,5,116.34,71.6
375,1039,1745,1728,183,1421.37,13,5,185.92,18.17
376,402,795,486,292,1624.96,10,1,179.88,100.5
377,1199,607,4462,162,2626.25,21,8,111.82,104.84
378,152,1577,401,84,3988.76,6,5,187.36,100.93
379,464,1548,4543,286,2111.36,17,7,120.21,49.43
380,1422,828,1906,145,4881.22,12,2,157.14,78.3
381,1439,106,644,155,2788.9,21,3,193.09,112.46
382,1343,1763,4246,288,3990.25,20,1,147.25,90.92
383,150,890,130,166,4663.24,15,6,179.81,146.04
384,1020,787,4184,77,2750.81,3,2,159.45,13.52
385,413,183,4930,50,3683.19,4,8,102.02,51.61
386,307,1238,328,163,4272.23,21,1,121.63,127.16
387,491,486,2102,45,2264.39,20,2,77.94,38.48
388,858,515,2440,262,88.5,13,1,187.79,26.93
389,1151,1302,857,59,4086.03,14,5,157.47,93.05
390,1240,657,3896,233,1284.18,4,5,165.09,28.59
391,72,115,3092,65,1338.19,20,3,38.84,148.65
392,584,1390,2040,295,1656.46,10,7,62.08,141.16
393,350,1606,2239,28,255.53,2,3,110.57,103.13
394,1224,1821,1479,22,274.83,14,3,24.41,17.1
395,332,905,3566,184,4341.69,10,2,123.01,32.87
396,1351,307,1633,210,4341.2,19,8,111.08,141.83
397,335,946,2940,67,3519.79,18,2,91.39,40.53
398,1301,146,3158,112,637.64,4,7,186.41,92.35
399,776,1183,726,106,2401.36,6,2,43.87,79.05
400,953,1361,871,202,905.51,8,1,139.18,68.44
401,812,999,2515,253,1820.66,21,3,49.55,18.49
402,1006,562,4720,143,2707.03,11,8,52.97,71.5
403,813,841,3709,286,3425.12,17,6,162.57,53.12
404,678,566,602,14,4818.64,6,7,26.4,45.84
405,1392,56,1193,34,2196.94,6,6,78.12,142.74
406,456,306,3779,274,4097.89,10,4,128.82,35.31
407,973,1180,3745,106,2055.14,2,2,122.95,121.25
408,344,1064,3776,96,1783.99,2,3,182.83,67.84
409,309,1040,3713,32,1586.27,13,1,133.88,123.95
410,581,1747,2219,187,3630.41,15,2,68.96,69.4
411,1279,1510,382,145,3631.89,17,6,34.62,77.81
412,470,1160,3568,96,4829.24,11,7,189.77,52.34
413,534,85,2219,152,4961.7,5,5,196.09,36.72
414,1163,704,1694,177,2669.77,15,7,91.08,81.12
415,940,502,3367,179,897.9,18,5,65.02,34.5
416,1421,1015,1771,117,754.06,18,8,28.71,127.21
417,281,427,1145,61,2961.93,3,2,79.78,59.41
418,514,1717,1836,65,2725.44,16,6,192.15,12.78
419,233,578,1933,232,4535.5,4,4,185.78,75.59
420,280,318,220,45,1181.9,7,8,150.0,96.93
421,1035,948,3436,187,793.44,13,3,114.51,39.29
422,1187,131,2831,48,1111.58,21,2,94.75,130.45
423,1433,593,3941,207,3052.2,20,2,168.81,98.83
424,676,1477,3768,30,3547.42,9,8,49.08,100.55
425,249,437,4141,168,1898.22,2,8,141.92,117.91
426,38,1346,4072,184,4630.82,21,4,170.88,139.48
427,386,1161,1036,172,3063.35,9,6,23.02,34.22
428,133,70,459,35,3235.04,1,4,91.92,43.22
429,1264,365,1290,86,1394.83,2,3,188.0,107.44
430,265,1292,3794,290,1805.96,15,5,179.76,45.54
431,1154,1796,2170,148,4847.55,1,2,138.57,14.52
432,61,449,2304,59,3825.0,10,2,31.42,128.16
433,1292,1610,953,222,4432.76,19,7,101.94,11.13
434,1389,1784,3363,267,65.36,19,1,28.12,115.62
435,309,236,2071,76,2800.21,19,5,187.67,71.98
436,809,1827,1016,14,965.97,19,8,91.28,111.02
437,506,981,4545,297,3400.11,18,7,42.16,72.99
438,104,1638,766,238,1694.75,15,5,80.03,128.84
439,857,598,4335,297,2163.36,5,4,72.2,32.43
440,186,444,42,98,4871.6,15,1,114.93,144.88
441,1020,512,261,33,2730.67,6,7,21.11,19.29
442,335,866,3355,205,3544.85,8,6,187.09,32.24
443,708,1566,2074,14,863.31,3,6,31.42,142.33
444,1245,7,852,288,3828.98,9,4,178.26,124.32
445,936,788,1440,205,3922.2,2,2,99.95,93.01
446,448,164,4563,82,812.75,14,7,37.42,111.18
447,862,1178,1330,228,1446.08,4,6,52.9,58.82
448,469,1435,1611,206,1820.67,3,6,180.52,51.87
449,1334,1011,866,91,1006.06,11,8,114.3,46.6
450,538,1418,3545,157,3113.45,12,5,169.0,21.53
451,1086,1484,1500,245,3637.31,14,8,38.47,49.84
452,217,1231,2173,253,2898.56,19,3,35.9,34.78
453,1136,311,2101,91,352.2,6,5,88.69,22.54
454,963,178,4379,249,2953.19,14,2,108.81,124.1
455,399,659,972,208,3563.03,1,4,42.87,69.03
456,1421,399,1627,209,607.28,4,8,106.05,62.03
457,749,569,493,236,1141.01,15,5,152.28,98.97
458,1217,630,467,146,1597.68,1,7,110.52,141.62
459,1086,1444,2274,160,4255.35,20,5,148.55,148.83
460,893,606,2856,231,1867.34,12,7,110.19,99.98
461,213,1743,2384,3,379.44,12,3,27.59,145.66
462,1109,938,3962,106,2027.97,19,6,159.67,56.71
463,161,1282,868,72,2936.26,20,8,114.81,37.29
464,917,104,2297,127,4541.42,13,7,34.88,135.02
465,694,366,4435,170,856.27,18,4,143.59,135.67
466,672,819,3261,155,1058.68,8,3,30.1,141.9
467,1023,256,2947,265,4180.36,3,5,91.19,49.14
468,1053,622,1878,114,4089.0,5,5,55.29,61.01
469,31,529,1119,200,2717.2,16,2,96.08,123.34
470,812,1254,4616,164,4101.6,1,3,161.71,68.05
471,1428,1383,4810,142,2023.34,10,2,50.46,66.6
472,1100,102,1430,256,734.22,10,4,48.21,41.74
473,1142,178,398,24,631.9,19,4,95.25,102.26
474,1044,787,4793,7,3889.4,20,1,169.48,42.37
475,109,1231,516,199,3847.21,20,3,41.64,35.88
476,1334,1455,2294,279,2161.68,10,3,82.07,98.56
477,1237,481,3709,216,2176.43,9,3,184.45,122.47
478,667,15,3994,247,1717.91,13,1,81.46,30.8
479,1266,435,2891,196,3612.24,11,5,93.6,149.71
480,132,1484,2937,163,152.49,13,3,41.98,21.38
481,1302,1610,2824,214,2842.36,4,1,38.02,77.67
482,588,1442,2490,70,3052.19,7,1,46.83,70.13
483,1098,858,4260,100,3377.62,10,1,80.84,108.61
484,378,1078,1052,46,2745.35,15,1,69.04,115.41
485,342,1495,3031,105,2464.31,4,5,132.12,105.39
486,709,537,41,127,4329.8,16,5,53.58,110.45
487,44,665,1168,164,1288.5,7,8,133.35,28.79
